Flores LLC;Sweden;Dr. Michael Turner;9.5;2011
Humphrey-Jenkins;Liberia;Kristy Dalton;5.0;2007
Ramos, Huff and Fernandez;Saint Barthelemy;Bryan Jimenez;8.1;1980
Best Group;Guyana;Dr. Natalie Hamilton;8.9;1983
Dunn and Sons;Antigua and Barbuda;Amber Frank;3.3;1993
Nelson, Contreras and Garcia;Sudan;Andrew Perry II;2.5;1973
Lopez, Smith and Pittman;Holy See (Vatican City State);Christopher Harrington;5.7;1984
Miller-Clay;Gibraltar;Jose Kennedy;1.3;1976
Rowland Inc;Ethiopia;Jeffrey Hoffman;1.9;2002
Carlson, Noble and Galloway;Seychelles;Steven Harrison;3.5;2012
Hancock, Smith and Rodriguez;Georgia;Derek Carlson;7.9;1977
Martin, Martin and King;Afghanistan;Faith Lawrence;4.2;1978
Martinez Group;Qatar;Timothy Taylor;1.5;2019
Butler and Sons;Lesotho;Brittany Thompson;1.9;1970
Orozco, Ware and Garner;Antarctica (the territory South of 60 deg S);Douglas Drake;3.4;1980
Rogers-Foley;Lesotho;Chelsey Ramirez;2.2;1990
Taylor and Sons;Azerbaijan;George Mayer;4.6;1980
Brown Group;Malaysia;Rebekah Parsons;9.2;2003
Gibson-Juarez;Romania;Gregory Webster;9.4;2021
Alexander and Sons;Kazakhstan;Karen Mccann;7.6;1984
Alvarez, Washington and Jackson;Syrian Arab Republic;Daniel Mills;1.2;2008
Carrillo, Mills and Jacobs;Tokelau;Kevin Hicks;6.1;2015
Shields, Valenzuela and Beasley;France;Kelli Davis;5.4;2002
Taylor-Johnson;New Zealand;Colleen Mosley;8.6;1988
Mcneil Ltd;Bosnia and Herzegovina;Pamela Hammond;5.8;2000
Hill PLC;Singapore;Jasmine Johnson;1.6;1997
Williams-Vaughan;Trinidad and Tobago;Stephanie Gonzales;1.9;1975
Turner, Gibbs and Gomez;Belgium;Melissa Morgan;3.9;2001
Horton, Lawson and Miller;Suriname;Scott Keller;8.1;2019
Walters, Dorsey and Taylor;Nauru;Elizabeth Campos;6.5;1985
Adams PLC;Italy;Randy Rowland;5.0;1975
Robinson, Stevens and Davis;Rwanda;Jennifer Howard;6.8;1994
Cox-Villarreal;United Arab Emirates;Bryan Price;3.4;2019
Fisher-Clark;China;Jared Paul;4.7;2018
Marquez and Sons;Jersey;Julie Sexton PhD;3.5;2016
Davis-Hawkins;Bahamas;James Black;8.4;1973
Taylor Group;Slovakia (Slovak Republic);George Brown;1.8;2017
Martin-Blake;Montserrat;Pamela Oliver;4.9;2001
Russo-Lee;Saint Martin;Anthony Pratt;9.0;1976
Ingram-Cox;Gibraltar;Timothy Elliott;1.6;2004
Wells-Mccarthy;Peru;Kevin Ellis;3.2;1988
Tate Group;Dominican Republic;Sydney Jackson;1.1;1983
Cochran, Parks and Foley;Andorra;Joshua Sherman;4.0;1991
Castillo, Murphy and Frey;Hungary;Douglas Ingram;3.6;2001
Williams, Simpson and Holmes;Turkmenistan;Cory Roach;1.5;2009
Smith, Barton and Conley;Namibia;Kenneth Campbell;8.6;1980
Graham-Underwood;Pakistan;Samantha Kelly;5.0;1977
Johnston, Morgan and Davis;Mozambique;Sheila Rocha;2.0;1978
Johnson, Wilkinson and Farley;Finland;David Hernandez;7.4;1979
Mitchell, Allen and Nelson;Cyprus;Leslie Herrera;5.4;1970
Lutz Inc;Iran;Meagan Carter;5.0;1970
May and Sons;Montenegro;Michelle Stanley;3.6;1970
Ortiz Ltd;Ecuador;David Jackson;6.2;1999
